3.35	,	91.63
2.64	,	93.39
1.94	,	95.15
1.23	,	96.92
0.84	,	97.89
1.6	,	95.96
2.35	,	94.04
3.11	,	92.12
3.86	,	90.2
3.62	,	90.82
3.35	,	91.51
3.08	,	92.2
2.81	,	92.88
2.51	,	93.65
2.2	,	94.44
1.89	,	95.23
1.58	,	96.02
1.28	,	96.78
0.98	,	97.53
0.68	,	98.28
0.39	,	99.03
0.2	,	99.51
0.32	,	99.19
0.45	,	98.87
0.58	,	98.55
0.7	,	98.23
0.66	,	98.33
0.62	,	98.43
0.59	,	98.53
0.55	,	98.62
0.7	,	98.22
0.91	,	97.68
1.12	,	97.12
1.33	,	96.57
1.34	,	96.56
1.16	,	97.02
0.98	,	97.49
0.79	,	97.96
0.86	,	97.77
1.54	,	95.96
2.22	,	94.16
2.9	,	92.36
3.64	,	90.38
5.64	,	84.81
7.65	,	79.22
9.66	,	73.62
11.68	,	68
15.5	,	56.58
19.74	,	43.81
23.98	,	31.05
28.22	,	18.28
30.04	,	12.73
30.03	,	12.64
30.03	,	12.55
30.02	,	12.46
28.5	,	16.96
23.91	,	30.75
19.33	,	44.55
14.74	,	58.36
10.34	,	71.54
7.94	,	78.16
5.55	,	84.77
3.15	,	91.37
0.76	,	97.97
0.4	,	98.97
0.39	,	98.99
0.38	,	99.02
0.37	,	99.04
0.38	,	99.02
0.4	,	98.95
0.42	,	98.89
0.44	,	98.83
0.45	,	98.79
0.45	,	98.8
0.45	,	98.8
0.45	,	98.8
0.77	,	97.9
3.16	,	91.25
5.54	,	84.59
7.93	,	77.93
10.33	,	71.25
13.9	,	60.05
17.6	,	48.34
21.3	,	36.63
25.01	,	24.91
26.46	,	20.19
26.74	,	19.1
27.03	,	18.01
27.31	,	16.94
25.27	,	23.11
20.06	,	39.22
14.85	,	55.32
9.64	,	71.44
5.2	,	85.13
4.2	,	88.02
3.19	,	90.92
2.19	,	93.81
1.19	,	96.7
2.29	,	93.48
3.51	,	89.9
4.73	,	86.31
5.97	,	82.71
6.18	,	82.04
5.99	,	82.58
5.79	,	83.13
5.59	,	83.67
4.89	,	85.7
3.64	,	89.38
2.38	,	93.06
1.12	,	96.76
0.16	,	99.56
0.23	,	99.36
0.3	,	99.17
0.37	,	98.98
0.43	,	98.79
0.67	,	98.09
0.91	,	97.4
1.15	,	96.71
1.39	,	96.02
2.15	,	93.71
3.08	,	90.9
4.01	,	88.08
4.93	,	85.26
4.83	,	85.56
3.8	,	88.69
2.76	,	91.81
1.73	,	94.93
0.99	,	97.15
0.98	,	97.16
0.97	,	97.18
0.96	,	97.2
0.98	,	97.14
1.47	,	95.65
